run_id,model,case_id,test_type,contract_name,bug_type,score,detected_bugs,total_bugs,false_positives,result,notes
run_28ac3a02,Meta Llama 3,case_104,security_audit,OracleVault6314,amm_pricing_error,83,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_105,defi_trading_logic,Vault1598,oracle_manipulation,84,1,1,1,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_106,security_audit,OracleVault6055,reward_accounting_error,68,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_107,patch_quality,RewardPool8094,missing_access_control,66,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_108,defi_trading_logic,RewardPool9272,oracle_manipulation,83,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_109,defi_trading_logic,LendingPool7121,reward_accounting_error,72,1,1,1,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_110,security_audit,RewardPool3732,reward_accounting_error,80,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_111,patch_quality,RewardPool9053,amm_pricing_error,75,1,1,1,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_112,defi_trading_logic,RewardPool9752,amm_pricing_error,75,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_113,patch_quality,OracleVault9712,missing_access_control,69,1,1,1,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_114,defi_trading_logic,Vault2073,amm_pricing_error,75,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_115,security_audit,SimpleAMM4469,reward_accounting_error,11,0,1,0,FAIL,Benchmark: model missed the injected vulnerability
run_28ac3a02,Meta Llama 3,case_116,patch_quality,LendingPool8037,missing_access_control,72,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_117,security_audit,RewardPool8909,reentrancy,86,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_118,defi_trading_logic,RewardPool8431,oracle_manipulation,68,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_119,patch_quality,SimpleAMM5260,reward_accounting_error,86,1,1,0,PASS,Benchmark: model detected the injected vulnerability
run_28ac3a02,Meta Llama 3,case_120,security_audit,RewardPool4748,missing_access_control,76,1,1,1,PASS,Benchmark: model detected the injected vulnerability
